ID_Psa,Meno_Psa,Hmotnost_Kg,Datum_Narodenia_Psa,Je_Stene_Boolean,ID_Rasy
232893,"",,,,
7333," Jak poznám, že je můj pes alergický na některé suroviny?",,,,
35496,***,9,2010-09-22 09:00:36,0,119
82112,****,,,0,
177623,+,,,0,
79879,",",,,0,
209261,",",20,2023-10-13 08:55:34,1,378
11494,",,",10,2016-12-14 11:15:02,0,
39945,",,,",5,2015-11-12 20:14:30,0,167
85880,",l",2,2013-04-26 21:48:52,0,382
26908,-,10,2012-02-17 19:25:24,0,
67202,-,15,2017-03-20 12:03:00,0,376
192603,-,30,2021-11-22 12:40:33,0,34
13252,.,7,2010-07-27 21:52:08,0,
44097,.,20,2017-11-04 20:15:00,0,
79587,.,11.5,2021-06-06 12:37:08,1,41
99839,.,32,2018-10-05 20:06:27,0,18
103626,.,25,2021-10-16 20:35:48,1,237
135967,.,,,0,
136974,.,,,0,
187057,.,,,0,150
190780,.,11,2021-07-08 17:32:42,0,
202769,.,,,0,
67929,..,1.2,2020-04-19 17:42:44,0,382
192517,..,13,2016-07-21 18:29:17,0,118
196785,..,8,2023-12-22 09:37:55,1,174
223625,..,31,2024-01-29 20:00:38,1,237
21082,...,10,2017-10-21 16:47:27,0,117
35399,...,7,2017-08-20 19:55:18,0,100
42753,...,,,0,
64774,...,,,0,
133677,...,4,2015-10-18 08:34:45,0,382
210887,...,5,2024-03-27 17:04:41,1,123
53656,....,32,2018-07-31 19:56:01,0,82
112565,....,1,2018-01-06 20:35:05,0,204
90452,.Mac,3.80,2021-10-15 13:37:16,1,374
86943,00,,,0,
125791,"00,",,,0,
16465,0ako,18,2012-02-05 14:46:39,0,
17964,1,20,2010-03-09 12:37:41,0,
20566,1,6,2020-02-19 14:07:11,1,113
25185,1,35,2009-09-18 17:06:25,0,203
53570,1,20,2020-07-12 08:53:34,1,162
58071,1,35,2016-05-07 11:25:33,0,120
63354,1,18,2020-04-14 19:15:29,0,
109676,1,9,2020-07-02 11:16:14,0,
110869,1,15,2021-04-26 08:49:08,1,113
140533,1,23,2017-12-08 17:44:57,0,74
162486,1,5,2012-01-06 14:55:34,0,205
172926,1,7,2012-12-20 15:43:44,0,382
204107,1. Dáreček,,,0,
63227,"1. Lori 11let,2.Yulia má spec. granule urinal  nyní za tři týdny očekává miminka tak potřebuji i pro miminka,2 Gafsa  potřebuje zhubnout a pak naše 3 měsíční štěně",11,2010-08-24 19:35:52,0,305
119996,10,55,2012-12-10 08:38:55,0,363
60582,10 maltézáčků ChS Wedding Day,,,0,249
11421,100,8.7,2017-01-15 15:37:28,0,100
65880,11,10,2019-03-04 11:44:07,0,
81953,11,3.1,2021-08-25 20:47:05,1,
173351,11,30,2021-07-01 06:55:57,0,113
175370,111,22,2021-03-29 11:41:51,0,
167355,12,11,2010-12-18 07:02:30,0,117
222310,12,,,0,
57951,12 měsíců,12,2020-05-01 17:07:41,1,150
5463,123,23,2007-12-05 11:50:12,0,
5836,123,,,0,
6582,123,,,0,
7037,123,25,2011-07-14 15:02:36,0,18
7043,123,,,0,
26642,123,25,2019-06-05 11:59:56,1,
38755,123,26,2009-07-25 12:41:19,0,353
77047,123,,,0,
90916,123,12,2008-09-17 16:44:40,0,
35431,123123,22,2017-06-21 10:49:54,0,
11625,12345,9,2011-11-15 00:27:46,0,118
5461,123456,,,0,
7210,123456,5,2016-09-22 14:58:04,0,
7342,123456,,,0,
7023,157,29,2017-07-29 23:03:32,0,
250,17000000,,,,
3365,17001275,,,,
2749,17002199,,,,
2858,17017779,,,,
1270,17019986,,,,
675,17028191,,,,
2202,17028964,,,,
1605,17029380,,,,
4453,17030876,,,,
4243,17031991,,,,
4465,17038810,,,,
1091,17039071,,,,
1965,17044939,,,,
1009,17065296,,,,
3356,17076861,,,,
3359,17081412,,,,
4432,17090546,,,,
4338,17093818,,,,
3348,17096194,,,,
2403,17098183,,,,
4114,17098623,,,,
2588,17102380,,,,
913,17111548,,,,
4241,17113472,,,,
4115,17117563,,,,
3358,17118960,,,,
3543,17120119,,,,
988,17121916,,,,
4381,17124853,,,,
4292,17125071,,,,
3343,17132788,,,,
583,17133620,,,,
2630,17139769,,,,
4132,17141193,,,,
3824,17142642,,,,
1202,17161497,,,,
2672,17168157,,,,
4016,17176078,,,,
2829,17178876,,,,
2922,17181558,,,,
4039,17187827,,,,
284,17189771,,,,
3603,17192450,,,,
4245,17193197,,,,
255,17200476,,,,
3345,17206492,,,,
3493,17210996,,,,
3702,17211188,,,,
2030,17212401,,,,
909,17213414,,,,
3744,17214709,,,,
3331,17220995,,,,
4415,17223736,,,,
2399,17228801,,,,
2441,17234094,,,,
2278,17240960,,,,
2661,17252141,,,,
3849,17254254,,,,
3347,17259582,,,,
910,17265933,,,,
4356,17267712,,,,
3678,17278786,,,,
435,17280477,,,,
276,17284481,,,,
4449,17285726,,,,
4334,17291185,,,,
4123,17300876,,,,
386,17307194,,,,
4364,17310418,,,,
2019,17311871,,,,
4469,17313166,,,,
404,17321825,,,,
3537,17322301,,,,
1858,17326346,,,,
1899,17329044,,,,
3993,17344006,,,,
1929,17344468,,,,
3337,17345265,,,,
1630,17352359,,,,
4302,17353786,,,,
1915,17356830,,,,
2913,17358939,,,,
917,17360521,,,,
3233,17363469,,,,
2636,17367008,,,,
4271,17375580,,,,
3827,17381274,,,,
3320,17381382,,,,
2929,17391695,,,,
2508,17393094,,,,
392,17393689,,,,
3357,17400462,,,,
911,17401577,,,,
4164,17405425,,,,
3192,17411086,,,,
3978,17412152,,,,
1880,17417437,,,,
2538,17417526,,,,
3354,17417907,,,,
3361,17423496,,,,
1624,17427688,,,,
1346,17437033,,,,
